National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2019-2020 school year,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (525) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
[ ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,
[ ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Washington""-County: ""king county""-School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
530030003668,WA-17408-5522,5300300,WA-17408,09,12,Auburn Opportunity Project,Auburn School District,King County,401 West Main Street,Auburn,WA,98001,5275,(253)931-4990,13,City: Small,No,No,No,†,116.00000,–,†,39.00000,8.00000
530030002445,WA-17408-4474,5300300,WA-17408,09,12,Auburn Riverside High School,Auburn School District,King County,501 ORAVETZ RD SE,AUBURN,WA,98092,8621,(253)804-5154,41,Rural: Fringe,No,No,Yes,Yes,1769.00000,77.79000,22.7000000,483.00000,200.00000
530030000032,WA-17408-2795,5300300,WA-17408,09,12,Auburn Senior High School,Auburn School District,King County,711 E MAIN ST,AUBURN,WA,98002,5662,(253)931-4880,13,City: Small,No,No,Yes,Yes,1769.00000,92.00000,19.2000000,801.00000,271.00000
530423000657,WA-17414-3548,5304230,WA-17414,KG,05,Audubon Elementary,Lake Washington School District,King County,3045 180th NE,Redmond,WA,98052,5810,(425)936-2500,13,City: Small,No,No,No,†,558.00000,34.16000,16.3000000,11.00000,6.00000
530771001157,WA-17001-3717,5307710,WA-17001,PK,05,B F Day Elementary School,Seattle School District No. 1,King County,3921 LINDEN AV N,SEATTLE,WA,98103,7803,(206)252-6010,11,City: Large,No,No,No,†,409.00000,25.85000,15.8000000,49.00000,9.00000
530771001173,WA-17001-2307,5307710,WA-17001,PK,05,Bailey Gatzert Elementary School,Seattle School District No. 1,King County,1301 E YESLER WY,SEATTLE,WA,98122,5430,(206)252-2810,11,City: Large,No,No,Yes,Yes,339.00000,29.08000,11.7000000,226.00000,13.00000
530771001138,WA-17001-2220,5307710,WA-17001,09,12,Ballard High School,Seattle School District No. 1,King County,1418 NW 65 ST,SEATTLE,WA,98117,5237,(206)252-1000,11,City: Large,No,No,No,†,1842.00000,84.63000,21.8000000,111.00000,45.00000
530771001140,WA-17001-2070,5307710,WA-17001,KG,05,Beacon Hill International School,Seattle School District No. 1,King County,2025 14 AV S,SEATTLE,WA,98144,4205,(206)252-2700,11,City: Large,No,No,Yes,Yes,418.00000,26.84000,15.6000000,147.00000,58.00000
530591002221,WA-17417-4305,5305910,WA-17417,PK,05,Bear Creek Elementary,Northshore School District,King County,18101 Avondale RD NE,Woodinville,WA,98077,9183,(425)408-4100,21,Suburb: Large,No,No,No,†,330.00000,25.77000,12.8000000,15.00000,3.00000
530375001495,WA-17411-4460,5303750,WA-17411,06,08,Beaver Lake Middle School,Issaquah School District,King County,25025 SE 32ND ST,ISSAQUAH,WA,98029,7738,(425)837-4150,21,Suburb: Large,No,No,No,†,825.00000,39.83000,20.7000000,38.00000,2.00000
530423000656,WA-17414-3592,5304230,WA-17414,PK,05,Bell Elementary,Lake Washington School District,King County,11212 NE 112TH,Kirkland,WA,98033,4520,(425)936-2510,21,Suburb: Large,No,No,Yes,No,546.00000,30.55000,17.9000000,64.00000,19.00000
530039003354,WA-17405-5240,5300390,WA-17405,06,12,Bellevue Big Picture School,Bellevue School District,King County,14844 SE 22nd Street,Bellevue,WA,98007,,(425)456-7800,12,City: Midsize,No,No,No,†,367.00000,26.71000,13.7000000,36.00000,14.00000
530039000060,WA-17405-2701,5300390,WA-17405,09,12,Bellevue High School,Bellevue School District,King County,10416 Wolverine Way,Bellevue,WA,98004,6600,(425)456-7000,12,City: Midsize,No,No,No,†,1537.00000,74.23000,20.7000000,103.00000,39.00000
530039000062,WA-17405-3705,5300390,WA-17405,PK,05,Bennett Elementary School,Bellevue School District,King County,17900 NE 16th Street,Bellevue,WA,98008,,(425)456-4800,12,City: Midsize,No,No,No,†,484.00000,27.17000,17.8000000,30.00000,3.00000
530723001064,WA-17403-3587,5307230,WA-17403,KG,05,Benson Hill Elementary School,Renton School District,King County,18665 116th Ave SE,Renton,WA,98058,7198,(425)204-3300,12,City: Midsize,No,No,Yes,Yes,559.00000,31.76000,17.6000000,208.00000,41.00000
530354000519,WA-17401-2765,5303540,WA-17401,PK,05,Beverly Park Elem at Glendale,Highline School District,King County,1201 S 104th St,Seattle,WA,98168,1549,(206)631-3400,21,Suburb: Large,No,No,Yes,Yes,361.00000,20.95000,17.2000000,232.00000,47.00000
530354002976,WA-17401-5028,5303540,WA-17401,06,12,Big Picture School,Highline School District,King County,440 S 186th St,Burien,WA,98148,,(206)631-7700,21,Suburb: Large,No,No,Yes,Yes,206.00000,17.18000,12.0000000,80.00000,31.00000
530771003033,WA-17001-5048,5307710,WA-17001,PK,PK,Birth to 3 Contracts,Seattle School District No. 1,King County,P.O. Box 34165,Seattle,WA,98124,1165,(206)252-0809,11,City: Large,No,No,No,†,578.00000,–,†,†,†
530396003244,WA-17415-5150,5303960,WA-17415,PK,PK,Birth to Age 2,Kent School District,King County,12033 SE 256TH St Suite A-400,Kent,WA,98030,6503,(253)373-7513,12,City: Midsize,No,No,No,†,251.00000,–,†,†,†
530282003408,WA-17210-5279,5302820,WA-17210,PK,PK,Birth to Three Development Center,Federal Way School District,King County,PO Box 24269,Federal Way,WA,98093,1269,(253)874-5445,21,Suburb: Large,No,No,Yes,No,194.00000,–,†,50.00000,3.00000
530000100376,WA-17216-3430,5300001,WA-17216,KG,05,Black Diamond Elementary,Enumclaw School District,King County,P.O. Box 285,Black Diamond,WA,98010,,(360)802-7570,21,Suburb: Large,No,No,No,†,312.00000,19.89000,15.7000000,63.00000,12.00000
530423002649,WA-17414-4532,5304230,WA-17414,KG,05,Blackwell Elementary,Lake Washington School District,King County,3225 - 205th PL NE,Sammamish,WA,98074,4374,(425)936-2520,21,Suburb: Large,No,No,No,†,555.00000,29.67000,18.7000000,6.00000,3.00000
530591000876,WA-17417-3106,5305910,WA-17417,09,12,Bothell High School,Northshore School District,King County,9130 NE 180 ST,Bothell,WA,98011,3360,(425)408-7018,21,Suburb: Large,No,No,Yes,No,1607.00000,75.37000,21.3000000,187.00000,83.00000
530354000521,WA-17401-2982,5303540,WA-17401,PK,05,Bow Lake Elementary,Highline School District,King County,18237 42nd Ave S,SeaTac,WA,98188,4525,(206)631-3500,21,Suburb: Large,No,No,Yes,Yes,492.00000,31.01000,15.9000000,318.00000,69.00000
530792001299,WA-17412-2990,5307920,WA-17412,KG,06,Briarcrest Elementary,Shoreline School District,King County,2715 N.E. 158th Street,Shoreline,WA,98155,6443,(206)393-4170,21,Suburb: Large,No,No,Yes,Yes,523.00000,28.33000,18.5000000,136.00000,42.00000
530375000571,WA-17411-3440,5303750,WA-17411,PK,05,Briarwood Elementary,Issaquah School District,King County,17020 SE 134TH ST,RENTON,WA,98059,7020,(425)837-5000,21,Suburb: Large,No,No,Yes,No,725.00000,42.98000,16.9000000,52.00000,20.00000
530771003555,WA-17001-5406,5307710,WA-17001,PK,12,Bridges Transition,Seattle School District No. 1,King County,7201 Beacon Ave S,Seattle,WA,98108,,(206)252-0058,11,City: Large,No,No,Yes,Yes,148.00000,16.81000,8.8000000,54.00000,12.00000
530282000431,WA-17210-3700,5302820,WA-17210,PK,05,Brigadoon Elementary School,Federal Way School District,King County,3601 SW 336th ST,Federal Way,WA,98023,2929,(253)945-2400,21,Suburb: Large,No,No,Yes,Yes,382.00000,24.09000,15.9000000,158.00000,57.00000
530771001145,WA-17001-2209,5307710,WA-17001,PK,08,Broadview-Thomson K-8 School,Seattle School District No. 1,King County,13052 GREENWOOD AV N,SEATTLE,WA,98133,7309,(206)252-4080,11,City: Large,No,No,Yes,Yes,624.00000,40.45000,15.4000000,257.00000,97.00000
530792001300,WA-17412-3230,5307920,WA-17412,KG,06,Brookside Elementary,Shoreline School District,King County,17447 37th Avenue N.E.,Lake Forest Park,WA,98155,5499,(206)393-4140,21,Suburb: Large,No,No,No,†,473.00000,25.77000,18.4000000,54.00000,14.00000
530771001146,WA-17001-2372,5307710,WA-17001,KG,05,Bryant Elementary School,Seattle School District No. 1,King County,3311 NE 60 ST,SEATTLE,WA,98115,7318,(206)252-5200,11,City: Large,No,No,No,†,582.00000,30.61000,19.0000000,26.00000,0.00000
530723001065,WA-17403-2439,5307230,WA-17403,KG,05,Bryn Mawr Elementary School,Renton School District,King County,8212 S 118th St,Seattle,WA,98178,3854,(425)204-4150,21,Suburb: Large,No,No,Yes,Yes,412.00000,27.80000,14.8000000,211.00000,59.00000
530000100377,WA-17216-2980,5300001,WA-17216,KG,05,Byron Kibler Elementary School,Enumclaw School District,King County,2057 Kibler Ave,Enumclaw,WA,98022,2798,(360)802-7263,21,Suburb: Large,No,No,Yes,Yes,451.00000,27.36000,16.5000000,142.00000,34.00000
530591000877,WA-17417-2493,5305910,WA-17417,PK,KG,C O Sorenson,Northshore School District,King County,19705 88 AV NE,Bothell,WA,98011,2121,(425)408-5570,21,Suburb: Large,No,Yes,No,†,251.00000,14.19000,17.7000000,28.00000,3.00000
530282000432,WA-17210-3547,5302820,WA-17210,PK,05,Camelot Elementary School,Federal Way School District,King County,4041 S 298TH,AUBURN,WA,98001,1581,(253)945-2500,21,Suburb: Large,No,No,Yes,Yes,353.00000,22.51000,15.7000000,124.00000,45.00000
530723001066,WA-17403-3034,5307230,WA-17403,KG,05,Campbell Hill Elementary School,Renton School District,King County,6418 S 124th St,Seattle,WA,98178,3627,(425)204-4000,21,Suburb: Large,No,No,Yes,Yes,334.00000,22.78000,14.7000000,192.00000,43.00000
530282003306,WA-17210-5163,5302820,WA-17210,09,12,Career Academy at Truman High School,Federal Way School District,King County,31455 28th Ave S,Federal Way,WA,98003,,(253)945-5800,21,Suburb: Large,No,Yes,Yes,Yes,98.00000,6.67000,14.7000000,69.00000,7.00000
530354003224,WA-17401-5116,5303540,WA-17401,09,12,Career Link,Highline School District,King County,C/O New Start,Seattle,WA,98146,,(206)631-7630,11,City: Large,No,No,No,†,0.00000,0.00000,†,–,–
530456000714,WA-17407-2485,5304560,WA-17407,PK,05,Carnation Elementary School,Riverview School District,King County,4950 Tolt Ave,Carnation,WA,98014,7608,(425)844-4550,21,Suburb: Large,No,No,Yes,No,432.00000,24.81000,17.4000000,63.00000,19.00000
530396002308,WA-17415-4353,5303960,WA-17415,PK,06,Carriage Crest Elementary School,Kent School District,King County,18235 140th Ave SE,Renton,WA,98058,6816,(253)373-7597,21,Suburb: Large,No,No,No,†,457.00000,29.66000,15.4000000,76.00000,26.00000
530423003242,WA-17414-5139,5304230,WA-17414,PK,05,Carson Elementary,Lake Washington School District,King County,1035 - 244th Ave NE,Sammamish,WA,98074,,(425)936-2750,21,Suburb: Large,No,No,No,†,487.00000,25.32000,19.2000000,10.00000,1.00000
530723001067,WA-17403-3337,5307230,WA-17403,KG,05,Cascade Elementary School,Renton School District,King County,16022 116th Ave SE,Renton,WA,98058,5245,(425)204-3350,12,City: Midsize,No,No,Yes,Yes,449.00000,30.81000,14.6000000,206.00000,73.00000
530792003116,WA-17412-1942,5307920,WA-17412,KG,08,Cascade K-8 Community School,Shoreline School District,King County,2800 NE 200th,Shoreline,WA,98155,,(206)393-4180,21,Suburb: Large,No,No,No,†,221.00000,12.21000,18.1000000,30.00000,23.00000
530354000522,WA-17401-3163,5303540,WA-17401,06,08,Cascade Middle School,Highline School District,King County,11212 10th Ave Sw,Seattle,WA,98146,2297,(206)631-5500,21,Suburb: Large,No,No,Yes,Yes,787.00000,42.30000,18.6000000,542.00000,123.00000
530030000033,WA-17408-2394,5300300,WA-17408,06,08,Cascade Middle School,Auburn School District,King County,1015 24TH ST NE,AUBURN,WA,98002,2430,(253)931-4995,13,City: Small,No,No,Yes,Yes,880.00000,47.89000,18.4000000,432.00000,126.00000
530771002635,WA-17001-1751,5307710,WA-17001,KG,12,Cascade Parent Partnership Program,Seattle School District No. 1,King County,2919 1st Avenue West,SEATTLE,WA,98119,,(206)706-4270,11,City: Large,No,No,No,†,168.00000,4.58000,36.7000000,24.00000,4.00000
530375002881,WA-17411-4565,5303750,WA-17411,KG,05,Cascade Ridge Elementary,Issaquah School District,King County,2020 TROSSACHS BLVD SE,SAMMAMISH,WA,98075,,(425)837-5500,21,Suburb: Large,No,No,No,†,494.00000,29.53000,16.7000000,2.00000,1.00000
530813002032,WA-17406-3226,5308130,WA-17406,PK,05,Cascade View Elementary,Tukwila School District,King County,13601 32nd Avenue S,Tukwila,WA,98168,,(206)901-7700,21,Suburb: Large,No,No,Yes,Yes,462.00000,25.31000,18.3000000,320.00000,61.00000
530804002980,WA-17410-5015,5308040,WA-17410,KG,05,Cascade View Elementary School,Snoqualmie Valley School District,King County,34816 SE Ridge Street,Snoqualmie,WA,98065,,(425)831-4100,31,Town: Fringe,No,No,No,†,564.00000,31.50000,17.9000000,15.00000,3.00000
530771003390,WA-17001-5292,5307710,WA-17001,KG,05,Cascadia Elementary,Seattle School District No. 1,King County,1700 N 90th Street,Seattle,WA,98115,,(206)252-5914,11,City: Large,No,Yes,No,†,523.00000,25.53000,20.5000000,12.00000,3.00000
530771002017,WA-17001-2838,5307710,WA-17001,KG,08,Catharine Blaine K-8 School,Seattle School District No. 1,King County,2550 34 AV W,SEATTLE,WA,98199,3240,(206)252-1920,11,City: Large,No,No,No,†,629.00000,33.37000,18.8000000,22.00000,13.00000
530396001142,WA-17415-4440,5303960,WA-17415,07,08,Cedar Heights Middle School,Kent School District,King County,19640 SE 272nd Street,Covington,WA,98042,8553,(253)373-7620,21,Suburb: Large,No,No,Yes,Yes,672.00000,31.37000,21.4000000,246.00000,76.00000
530771003613,WA-17001-5487,5307710,WA-17001,PK,05,Cedar Park Elementary School,Seattle School District No. 1,King County,13224 37th Ave NE,Seattle,WA,98125,4649,(206)252-4300,11,City: Large,No,No,No,†,185.00000,10.63000,17.4000000,24.00000,10.00000
530876003605,WA-17409-5489,5308760,WA-17409,PK,05,Cedar River Elementary,Tahoma School District,King County,22615 Sweeney Rd SE,Maple Valley,WA,98038,,(425)413-5400,21,Suburb: Large,No,No,No,†,613.00000,36.02000,17.0000000,52.00000,16.00000
530396000612,WA-17415-3676,5303960,WA-17415,PK,06,Cedar Valley Elementary School,Kent School District,King County,26500 Timberlane Way SE,Covington,WA,98042,8404,(253)373-7649,21,Suburb: Large,No,No,Yes,Yes,269.00000,21.02000,12.8000000,93.00000,29.00000
530456000716,WA-17407-3524,5304560,WA-17407,09,12,Cedarcrest High School,Riverview School District,King County,29000 NE 150th St,Duvall,WA,98019,8519,(425)844-4800,21,Suburb: Large,No,No,No,†,976.00000,47.82000,20.4000000,77.00000,29.00000
530354000523,WA-17401-2926,5303540,WA-17401,PK,05,Cedarhurst Elementary,Highline School District,King County,611 S 132nd St,Burien,WA,98168,,(206)631-3600,21,Suburb: Large,No,No,Yes,Yes,495.00000,25.97000,19.1000000,280.00000,103.00000
530039003434,WA-17405-5281,5300390,WA-17405,PK,12,Central Educational Services,Bellevue School District,King County,P.O. Box 90010,Bellevue,WA,98009,9010,(425)456-4149,12,City: Midsize,No,No,No,†,285.00000,–,†,18.00000,2.00000
530375002214,WA-17411-4300,5303750,WA-17411,KG,05,Challenger Elementary,Issaquah School District,King County,25200 SE KLAHANIE BLVD,ISSAQUAH,WA,98029,5763,(425)837-7550,21,Suburb: Large,No,No,No,†,590.00000,38.14000,15.5000000,39.00000,3.00000
530930001394,WA-17402-4468,5309300,WA-17402,PK,05,Chautauqua Elementary,Vashon Island School District,King County,9309 SW CEMETERY RD,VASHON,WA,98070,,(206)463-2882,41,Rural: Fringe,No,No,Yes,No,539.00000,31.91000,16.9000000,109.00000,29.00000
530039000063,WA-17405-3742,5300390,WA-17405,PK,05,Cherry Crest Elementary School,Bellevue School District,King County,12400 N.E. 32nd St.,Bellevue,WA,98005,,(425)456-4900,12,City: Midsize,No,No,No,†,654.00000,31.84000,20.5000000,12.00000,3.00000
530456000715,WA-17407-3101,5304560,WA-17407,KG,05,Cherry Valley Elementary School,Riverview School District,King County,26701 NE Cherry Valley Rd,Duvall,WA,98019,8618,(425)844-4750,21,Suburb: Large,No,No,No,†,496.00000,36.08000,13.7000000,38.00000,10.00000
530804002439,WA-17410-4397,5308040,WA-17410,06,08,Chief Kanim Middle School,Snoqualmie Valley School District,King County,Box 639,Fall City,WA,98024,,(425)831-8225,21,Suburb: Large,No,No,No,†,585.00000,29.51000,19.8000000,21.00000,12.00000
530771001149,WA-17001-3096,5307710,WA-17001,09,12,Chief Sealth International High School,Seattle School District No. 1,King County,2600 SW Thistle,SEATTLE,WA,98126,3748,(206)252-8550,11,City: Large,No,No,Yes,Yes,1088.00000,61.55000,17.7000000,500.00000,169.00000
530030000034,WA-17408-3439,5300300,WA-17408,PK,05,Chinook Elementary School,Auburn School District,King County,3502 AUBURN WAY S,AUBURN,WA,98092,7221,(253)931-4980,13,City: Small,No,No,Yes,Yes,605.00000,38.60000,15.7000000,334.00000,82.00000
530039000064,WA-17405-3338,5300390,WA-17405,06,08,Chinook Middle School,Bellevue School District,King County,2001 98th Ave NE,Bellevue,WA,98006,,(425)456-6300,21,Suburb: Large,No,No,No,†,934.00000,47.03000,19.9000000,83.00000,27.00000
530354000524,WA-17401-3098,5303540,WA-17401,06,08,Chinook Middle School,Highline School District,King County,18650 42nd Ave S,SeaTac,WA,98188,5012,(206)631-5700,21,Suburb: Large,No,No,Yes,Yes,727.00000,45.92000,15.8000000,459.00000,117.00000
530456003375,WA-17407-5244,5304560,WA-17407,07,10,Choice,Riverview School District,King County,32302 NE 50th St,Carnation,WA,98014,,(425)844-4960,21,Suburb: Large,No,No,Yes,No,11.00000,2.30000,4.8000000,3.00000,0.00000
530354002640,WA-17401-1539,5303540,WA-17401,06,12,CHOICE Academy,Highline School District,King County,18367 8th Ave S,Seattle,WA,98148,1934,(206)631-7630,21,Suburb: Large,No,No,No,†,189.00000,8.20000,23.0000000,48.00000,33.00000
530423003640,WA-17414-5511,5304230,WA-17414,KG,05,Clara Barton Elementary School,Lake Washington School District,King County,12011 172nd Ave NE,Redmond,WA,98052,,(425)936-2480,13,City: Small,No,No,Yes,No,610.00000,40.61000,15.0000000,85.00000,13.00000
530375002107,WA-17411-2738,5303750,WA-17411,KG,05,Clark Elementary,Issaquah School District,King County,335 First Avenue SE,ISSAQUAH,WA,98027,4315,(425)837-6250,21,Suburb: Large,No,No,Yes,No,782.00000,50.26000,15.6000000,125.00000,32.00000
530771001150,WA-17001-2392,5307710,WA-17001,09,12,Cleveland High School STEM,Seattle School District No. 1,King County,5511 15 AVE S,SEATTLE,WA,98108,2823,(206)252-7800,11,City: Large,No,No,Yes,Yes,916.00000,48.12000,19.0000000,343.00000,153.00000
530456002644,WA-17407-1756,5304560,WA-17407,09,12,CLIP,Riverview School District,King County,32302 NE 50th Street,Carnation,WA,98014,,(425)844-4960,21,Suburb: Large,No,No,Yes,No,38.00000,1.45000,26.2000000,10.00000,1.00000
530039000065,WA-17405-2847,5300390,WA-17405,PK,05,Clyde Hill Elementary,Bellevue School District,King County,9601 NE 24th Street,Bellevue,WA,98004,2100,(425)456-5000,21,Suburb: Large,No,No,No,†,567.00000,26.01000,21.8000000,42.00000,6.00000
530423000673,WA-17414-3856,5304230,WA-17414,01,05,Community School,Lake Washington School District,King County,11133 NE 65th,Kirkland,WA,98033,7116,(425)936-2395,21,Suburb: Large,No,No,No,†,72.00000,4.68000,15.4000000,3.00000,0.00000
530771001154,WA-17001-2199,5307710,WA-17001,PK,05,Concord International School,Seattle School District No. 1,King County,723 S CONCORD ST,SEATTLE,WA,98108,4641,(206)252-8100,11,City: Large,No,No,Yes,Yes,344.00000,24.94000,13.8000000,179.00000,48.00000
530423001598,WA-17414-1649,5304230,WA-17414,PK,12,Contractual Schools,Lake Washington School District,King County,P.O. Box 97039,Redmond,WA,98073,9739,(425)702-3200,13,City: Small,No,No,No,†,354.00000,–,†,7.00000,1.00000
530591000880,WA-17417-3234,5305910,WA-17417,PK,05,Cottage Lake Elementary,Northshore School District,King County,15940 Avondale RD NE,Woodinville,WA,98077,9167,(425)408-4200,21,Suburb: Large,No,No,No,†,317.00000,24.10000,13.2000000,21.00000,8.00000
530375000482,WA-17411-4375,5303750,WA-17411,KG,05,Cougar Ridge Elementary,Issaquah School District,King County,4630 167TH AVE SE,BELLEVUE,WA,98006,5837,(425)837-7300,12,City: Midsize,No,No,No,†,566.00000,37.50000,15.1000000,15.00000,2.00000
530396000613,WA-17415-3388,5303960,WA-17415,PK,06,Covington Elementary School,Kent School District,King County,25811 156TH Ave SE,Covington,WA,98042,4202,(253)373-7652,21,Suburb: Large,No,No,Yes,Yes,656.00000,38.52000,17.0000000,254.00000,71.00000
530375003331,WA-17411-5201,5303750,WA-17411,KG,05,Creekside Elementary,Issaquah School District,King County,20777 SE 16th St,Sammamish,WA,98075,,(425)837-5200,21,Suburb: Large,No,No,No,†,731.00000,40.81000,17.9000000,7.00000,2.00000
530396001779,WA-17415-4126,5303960,WA-17415,PK,06,Crestwood Elementary School,Kent School District,King County,25225 180th Ave SE,Covington,WA,98042,4815,(253)373-7634,21,Suburb: Large,No,No,No,†,521.00000,27.02000,19.3000000,125.00000,36.00000
530771001137,WA-17001-2450,5307710,WA-17001,KG,05,Daniel Bagley Elementary School,Seattle School District No. 1,King County,7821 STONE AV N,SEATTLE,WA,98103,4835,(206)252-5110,11,City: Large,No,No,No,†,389.00000,25.51000,15.2000000,46.00000,7.00000
530771001913,WA-17001-2839,5307710,WA-17001,06,08,David T. Denny International Middle School,Seattle School District No. 1,King County,2601 SW Kenyon St,SEATTLE,WA,98126,,(206)252-9000,11,City: Large,No,No,Yes,Yes,838.00000,53.41000,15.7000000,447.00000,101.00000
